id,district
1,5
2,5
3,5
4,5
5,5
6,5
7,5
8,5
9,5
10,5
11,5
12,5
13,5
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,7
23,7
24,7
25,5
26,5
27,5
28,5
29,5
30,5
31,5
32,5
33,5
34,5
35,5
36,5
37,5
38,1
39,1
40,1
41,1
42,1
43,1
44,7
45,7
46,7
47,7
48,7
49,5
50,5
51,5
52,5
53,5
54,5
55,5
56,5
57,5
58,5
59,5
60,5
61,5
62,1
63,1
64,1
65,1
66,1
67,7
68,7
69,7
70,7
71,7
72,7
73,5
74,5
75,5
76,5
77,5
78,5
79,5
80,5
81,5
82,5
83,5
84,1
85,1
86,1
87,1
88,1
89,1
90,1
91,7
92,7
93,7
94,7
95,7
96,7
97,5
98,5
99,5
100,5
101,5
102,5
103,5
104,5
105,5
106,5
107,5
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,7
117,7
118,7
119,7
120,7
121,8
122,8
123,5
124,5
125,5
126,5
127,5
128,5
129,5
130,8
131,8
132,1
133,1
134,1
135,1
136,1
137,7
138,7
139,7
140,7
141,7
142,7
143,7
144,7
145,8
146,8
147,5
148,5
149,5
150,8
151,8
152,8
153,8
154,8
155,8
156,1
157,1
158,1
159,1
160,1
161,1
162,7
163,7
164,7
165,7
166,7
167,7
168,7
169,8
170,8
171,8
172,8
173,8
174,8
175,8
176,8
177,8
178,8
179,8
180,1
181,1
182,1
183,1
184,1
185,1
186,7
187,7
188,7
189,7
190,7
191,7
192,7
193,2
194,2
195,2
196,8
197,8
198,8
199,8
200,8
201,8
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,7
211,7
212,7
213,7
214,7
215,7
216,7
217,2
218,2
219,8
220,8
221,8
222,8
223,8
224,8
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,4
234,7
235,7
236,7
237,7
238,7
239,7
240,3
241,2
242,2
243,8
244,8
245,8
246,8
247,8
248,8
249,1
250,1
251,1
252,1
253,1
254,4
255,4
256,4
257,4
258,7
259,7
260,7
261,7
262,3
263,3
264,3
265,2
266,2
267,2
268,8
269,8
270,8
271,8
272,8
273,8
274,8
275,8
276,8
277,4
278,4
279,4
280,4
281,4
282,4
283,7
284,7
285,7
286,3
287,3
288,3
289,2
290,2
291,2
292,2
293,8
294,8
295,8
296,8
297,8
298,8
299,8
300,8
301,4
302,4
303,4
304,4
305,4
306,4
307,7
308,7
309,3
310,3
311,3
312,3
313,2
314,2
315,2
316,2
317,2
318,8
319,8
320,8
321,8
322,8
323,8
324,8
325,4
326,4
327,4
328,4
329,4
330,4
331,4
332,7
333,3
334,3
335,3
336,3
337,2
338,2
339,2
340,2
341,2
342,2
343,8
344,8
345,8
346,8
347,8
348,6
349,6
350,6
351,4
352,4
353,4
354,4
355,4
356,7
357,3
358,3
359,3
360,3
361,2
362,2
363,2
364,2
365,2
366,2
367,8
368,8
369,8
370,6
371,6
372,6
373,6
374,6
375,4
376,4
377,4
378,4
379,4
380,4
381,3
382,3
383,3
384,3
385,2
386,2
387,2
388,2
389,2
390,2
391,2
392,2
393,2
394,6
395,6
396,6
397,6
398,6
399,6
400,4
401,4
402,4
403,3
404,3
405,3
406,3
407,3
408,3
409,2
410,2
411,2
412,2
413,2
414,2
415,6
416,6
417,6
418,6
419,6
420,6
421,6
422,6
423,6
424,4
425,4
426,4
427,3
428,3
429,3
430,3
431,3
432,3
433,2
434,2
435,2
436,2
437,2
438,2
439,6
440,6
441,6
442,6
443,6
444,6
445,6
446,6
447,6
448,4
449,4
450,4
451,3
452,3
453,3
454,3
455,3
456,3
457,2
458,2
459,2
460,2
461,6
462,6
463,6
464,6
465,6
466,6
467,6
468,6
469,6
470,6
471,4
472,4
473,4
474,4
475,3
476,3
477,3
478,3
479,3
480,3
481,2
482,2
483,2
484,2
485,6
486,6
487,6
488,6
489,6
490,6
491,6
492,6
493,4
494,4
495,4
496,4
497,4
498,4
499,3
500,3
501,3
502,3
503,3
504,3
505,2
506,2
507,2
508,2
509,6
510,6
511,6
512,6
513,6
514,6
515,6
516,6
517,4
518,4
519,4
520,4
521,4
522,3
523,3
524,3
525,3
526,3
527,3
528,3
529,2
530,2
531,2
532,2
533,6
534,6
535,6
536,6
537,6
538,6
539,6
540,6
541,4
542,4
543,4
544,4
545,4
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,2
554,2
555,2
556,2
557,2
558,6
559,6
560,6
561,6
562,6
563,6
564,6
565,4
566,4
567,4
568,4
569,4
570,4
571,4
572,3
573,3
574,3
575,3
576,3
