id,district
1,7
2,7
3,7
4,7
5,7
6,7
7,7
8,7
9,7
10,2
11,2
12,2
13,2
14,2
15,4
16,4
17,4
18,4
19,4
20,4
21,4
22,4
23,4
24,4
25,7
26,7
27,7
28,7
29,7
30,7
31,7
32,7
33,7
34,2
35,2
36,2
37,2
38,2
39,4
40,4
41,4
42,4
43,4
44,4
45,4
46,4
47,4
48,4
49,7
50,7
51,7
52,7
53,7
54,7
55,7
56,7
57,2
58,2
59,2
60,2
61,2
62,2
63,4
64,4
65,4
66,4
67,4
68,4
69,4
70,4
71,4
72,4
73,7
74,7
75,7
76,7
77,7
78,7
79,7
80,2
81,2
82,2
83,2
84,2
85,2
86,2
87,4
88,4
89,4
90,4
91,4
92,4
93,4
94,4
95,4
96,4
97,7
98,7
99,7
100,7
101,7
102,7
103,7
104,2
105,2
106,2
107,2
108,2
109,2
110,2
111,5
112,4
113,4
114,4
115,4
116,4
117,4
118,4
119,4
120,4
121,7
122,7
123,7
124,7
125,7
126,7
127,7
128,7
129,2
130,2
131,2
132,2
133,2
134,5
135,5
136,5
137,5
138,5
139,4
140,4
141,4
142,4
143,4
144,4
145,7
146,7
147,7
148,7
149,7
150,7
151,7
152,2
153,2
154,2
155,2
156,2
157,5
158,5
159,5
160,5
161,5
162,5
163,4
164,4
165,4
166,4
167,4
168,4
169,7
170,7
171,7
172,7
173,7
174,7
175,7
176,2
177,2
178,2
179,2
180,5
181,5
182,5
183,5
184,5
185,5
186,5
187,5
188,5
189,4
190,4
191,4
192,4
193,7
194,7
195,7
196,7
197,7
198,7
199,7
200,2
201,2
202,2
203,5
204,5
205,5
206,5
207,5
208,5
209,5
210,5
211,5
212,5
213,4
214,4
215,4
216,4
217,7
218,7
219,7
220,8
221,8
222,8
223,7
224,2
225,2
226,2
227,2
228,5
229,5
230,5
231,5
232,5
233,5
234,5
235,5
236,5
237,5
238,4
239,4
240,4
241,8
242,8
243,8
244,8
245,8
246,8
247,8
248,8
249,2
250,2
251,2
252,5
253,5
254,5
255,5
256,5
257,5
258,5
259,5
260,5
261,5
262,6
263,6
264,6
265,8
266,8
267,8
268,8
269,8
270,8
271,8
272,8
273,2
274,2
275,2
276,2
277,2
278,5
279,5
280,5
281,5
282,5
283,5
284,5
285,5
286,6
287,6
288,6
289,8
290,8
291,8
292,8
293,8
294,8
295,8
296,8
297,8
298,8
299,2
300,2
301,2
302,5
303,5
304,5
305,5
306,5
307,5
308,5
309,5
310,6
311,6
312,6
313,8
314,8
315,8
316,8
317,8
318,8
319,8
320,8
321,8
322,8
323,2
324,2
325,2
326,5
327,5
328,6
329,6
330,6
331,6
332,5
333,6
334,6
335,6
336,6
337,8
338,1
339,1
340,8
341,8
342,8
343,8
344,8
345,8
346,8
347,8
348,2
349,2
350,5
351,6
352,6
353,6
354,6
355,6
356,6
357,6
358,6
359,6
360,6
361,8
362,1
363,1
364,8
365,8
366,8
367,8
368,8
369,8
370,8
371,1
372,2
373,2
374,3
375,6
376,6
377,6
378,6
379,6
380,6
381,6
382,6
383,6
384,6
385,8
386,1
387,1
388,1
389,8
390,8
391,8
392,8
393,8
394,8
395,1
396,2
397,2
398,3
399,6
400,6
401,6
402,6
403,6
404,6
405,6
406,6
407,6
408,6
409,1
410,1
411,1
412,1
413,8
414,8
415,8
416,8
417,8
418,8
419,1
420,1
421,3
422,3
423,6
424,6
425,6
426,6
427,6
428,6
429,6
430,6
431,6
432,6
433,1
434,1
435,1
436,1
437,1
438,8
439,8
440,1
441,1
442,1
443,1
444,3
445,3
446,3
447,6
448,3
449,6
450,6
451,6
452,6
453,6
454,6
455,6
456,6
457,1
458,1
459,1
460,1
461,1
462,1
463,8
464,1
465,1
466,1
467,1
468,3
469,3
470,3
471,3
472,3
473,3
474,3
475,6
476,6
477,6
478,6
479,3
480,3
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,3
492,3
493,3
494,3
495,3
496,3
497,3
498,3
499,3
500,3
501,3
502,6
503,3
504,3
505,1
506,1
507,1
508,1
509,1
510,1
511,1
512,1
513,1
514,3
515,3
516,3
517,3
518,3
519,3
520,3
521,3
522,3
523,3
524,3
525,3
526,6
527,3
528,3
529,1
530,1
531,1
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,3
540,3
541,3
542,3
543,3
544,3
545,3
546,3
547,3
548,3
549,3
550,3
551,3
552,3
553,1
554,1
555,1
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,3
564,3
565,3
566,3
567,3
568,3
569,3
570,3
571,3
572,3
573,3
574,3
575,3
576,3
